	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	mu[1]	0.9906	0.01817	2.831E-4	0.9544	0.9907	1.026	30000	20001
	mu[2]	0.9984	0.02999	4.677E-4	0.9384	0.9988	1.056	30000	20001
	mu[3]	0.9368	0.02079	3.026E-4	0.8971	0.9365	0.9781	30000	20001
	mu[4]	0.9917	0.02598	4.298E-4	0.9419	0.9918	1.043	30000	20001
	mu[5]	0.9728	0.0264	4.356E-4	0.9218	0.9725	1.024	30000	20001
	mu[6]	1.027	0.02269	3.188E-4	0.9822	1.027	1.071	30000	20001
	mu[7]	1.001	0.02736	4.335E-4	0.9474	1.001	1.056	30000	20001
	mu[8]	0.977	0.02839	4.607E-4	0.9225	0.9768	1.033	30000	20001
	mu[9]	1.011	0.0338	6.126E-4	0.947	1.01	1.08	30000	20001
	mu[10]	1.065	0.06126	0.001227	0.9452	1.064	1.187	30000	20001
	mu[11]	1.134	0.07166	0.001562	1.002	1.131	1.283	30000	20001
	mu[12]	1.104	0.07289	0.001669	0.9658	1.101	1.257	30000	20001
	mu[13]	1.232	0.08873	0.002055	1.063	1.229	1.411	30000	20001
	mu[14]	1.387	0.09421	0.002451	1.209	1.383	1.579	30000	20001
	mu[15]	1.592	0.1125	0.002284	1.384	1.589	1.83	30000	20001
	mu[16]	1.653	0.1015	0.002034	1.46	1.65	1.864	30000	20001
	mu[17]	1.796	0.1127	0.002305	1.583	1.795	2.022	30000	20001
	mu[18]	2.011	0.06991	0.001163	1.87	2.013	2.146	30000	20001
	mu[19]	2.171	0.04465	7.075E-4	2.084	2.17	2.26	30000	20001
	mu[20]	2.485	0.03839	5.275E-4	2.409	2.485	2.559	30000	20001
	mu[21]	2.895	0.04244	5.114E-4	2.81	2.895	2.978	30000	20001
	mu[22]	3.225	0.0445	6.912E-4	3.139	3.225	3.313	30000	20001
	mu[23]	3.529	0.03892	5.254E-4	3.452	3.528	3.607	30000	20001
	mu[24]	3.859	0.04681	6.921E-4	3.767	3.859	3.952	30000	20001
	mu[25]	4.125	0.04439	6.169E-4	4.038	4.125	4.212	30000	20001
	mu[26]	4.333	0.04578	6.843E-4	4.242	4.332	4.424	30000	20001
