	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	sd[1]	0.09146	0.004534	5.673E-5	0.08298	0.09133	0.1007	30000	20001
	sd[2]	0.1754	0.02355	1.96E-4	0.1363	0.1731	0.228	30000	20001
	sd[3]	0.1159	0.0157	1.33E-4	0.09021	0.1142	0.1513	30000	20001
	sd[4]	0.1489	0.01985	1.581E-4	0.116	0.1469	0.1938	30000	20001
	sd[5]	0.1507	0.01998	1.708E-4	0.1176	0.1485	0.1959	30000	20001
	sd[6]	0.1223	0.01657	1.405E-4	0.09489	0.1207	0.1596	30000	20001
	sd[7]	0.1622	0.02164	1.754E-4	0.1269	0.16	0.2108	30000	20001
	sd[8]	0.1664	0.02224	1.864E-4	0.1293	0.1638	0.2157	30000	20001
	sd[9]	0.2125	0.029	2.362E-4	0.1652	0.2093	0.2786	30000	20001
	sd[10]	0.6085	0.07997	6.27E-4	0.4767	0.6001	0.7894	30000	20001
	sd[11]	0.7894	0.1056	8.197E-4	0.6156	0.7778	1.03	30000	20001
	sd[12]	0.9532	0.1297	0.001133	0.737	0.9397	1.247	30000	20001
	sd[13]	2.152	0.2861	0.002333	1.681	2.122	2.796	30000	20001
	sd[14]	2.427	0.3243	0.002723	1.893	2.391	3.164	30000	20001
	sd[15]	4.315	0.5741	0.00452	3.366	4.254	5.606	30000	20001
	sd[16]	1.214	0.1678	0.001468	0.9346	1.196	1.59	30000	20001
	sd[17]	1.264	0.1684	0.001306	0.987	1.246	1.64	30000	20001
	sd[18]	0.4276	0.0574	4.718E-4	0.3322	0.4212	0.5577	30000	20001
	sd[19]	0.2353	0.03144	2.633E-4	0.1835	0.2319	0.3058	30000	20001
	sd[20]	0.1775	0.02396	1.899E-4	0.1381	0.1751	0.2308	30000	20001
	sd[21]	0.1873	0.02562	2.3E-4	0.145	0.1844	0.2463	30000	20001
	sd[22]	0.1785	0.02526	2.403E-4	0.1377	0.1754	0.2364	30000	20001
	sd[23]	0.117	0.01838	1.846E-4	0.08904	0.1145	0.159	30000	20001
	sd[24]	0.1647	0.02399	2.385E-4	0.1265	0.1617	0.2197	30000	20001
	sd[25]	0.1376	0.02087	2.222E-4	0.1051	0.1349	0.1857	30000	20001
	sd[26]	0.1343	0.02086	2.208E-4	0.1023	0.1314	0.1823	30000	20001
	sd[27]	0.1616	0.02403	2.415E-4	0.1242	0.1585	0.2166	30000	20001
	sd[28]	0.1435	0.02236	2.273E-4	0.1093	0.1404	0.1966	30000	20001
	sd[29]	0.1531	0.02427	2.491E-4	0.117	0.1497	0.2088	30000	20001
	sd[30]	0.1908	0.0284	2.897E-4	0.1468	0.1871	0.2563	30000	20001
	sd[31]	0.1543	0.02446	2.346E-4	0.1174	0.1511	0.2125	30000	20001
	sd[32]	0.1638	0.02502	2.53E-4	0.1251	0.1605	0.2222	30000	20001
	sd[33]	0.1493	0.02424	2.876E-4	0.1131	0.1459	0.2048	30000	20001
	sd[34]	0.1777	0.02628	2.553E-4	0.1359	0.1744	0.238	30000	20001
	sd[35]	0.1477	0.02403	2.493E-4	0.1115	0.1443	0.2039	30000	20001
	sd[36]	0.1516	0.02306	2.305E-4	0.1163	0.1487	0.2039	30000	20001
	sd[37]	0.1704	0.02539	2.266E-4	0.1305	0.1671	0.2291	30000	20001
	sd[38]	0.1425	0.02219	2.113E-4	0.1082	0.1393	0.1942	30000	20001
	sd[39]	0.1231	0.0197	1.767E-4	0.09329	0.1203	0.169	30000	20001
	sd[40]	0.1668	0.02369	2.212E-4	0.1289	0.1639	0.2204	30000	20001
	sd[41]	0.1601	0.0227	2.214E-4	0.1236	0.1573	0.2126	30000	20001
	sd[42]	0.1365	0.01958	1.758E-4	0.1048	0.1343	0.1804	30000	20001
	sd[43]	0.1385	0.01963	1.656E-4	0.1068	0.1361	0.1831	30000	20001
	sd[44]	0.1737	0.02353	2.026E-4	0.1347	0.1711	0.2271	30000	20001
	sd[45]	0.2364	0.03204	2.677E-4	0.184	0.2331	0.3087	30000	20001
	sd[46]	0.4787	0.06521	4.856E-4	0.3721	0.4718	0.6267	30000	20001
	sd[47]	0.8171	0.1078	8.628E-4	0.6373	0.8046	1.059	30000	20001
	sd[48]	1.013	0.1374	0.00111	0.7856	0.9977	1.321	30000	20001
